userName,score,at,content
Alfian Hidayat,5,2026-05-05 09:08:34,game ya seru banget aku jadi paham
Bertuah Raya Express,3,2026-05-05 08:48:05,"Iklannya bejibun, harus mainkan offline"
Ega Fayza,1,2026-05-04 22:38:29,game brengsek tau2 nyedot uang di dana
Mohammad Ridho,5,2026-05-04 03:05:30,sangat bagus 👍
hadi ahmad salim,1,2026-05-03 12:59:22,banyak kata yg ga jelas
Steven Pebriyandi,5,2026-05-03 07:58:51,easy good game
Faid Khoirul Iqbal,4,2026-05-03 05:22:08,saya suka dengan updatenya
putritunggal 3putra,5,2026-05-03 03:57:35,top
Kevin Novaliza,2,2026-05-03 02:37:06,"iklan terlalu banyak bbrp detik muncul iklan,1 level bisa 10x iklan belum lagi ditambah tiap menyelesaikan level ada iklan jebakan auto download game lain"
marcella wibowo,1,2026-05-03 00:06:18,"kebanyakan iklan ,tiap ganti perjalan iklan , tiap ketemu 1 kata iklan ,"
Zoya Linda,5,2026-05-02 08:25:02,saya suka gem nya bagus bangk
Syaila Fitria,5,2026-05-01 23:36:38,Bagus gamenya bisa melatih buat otak
Zidhan Muhamad,1,2026-05-01 23:33:31,"game streess, kata kata ngaworr, asalan,pake bahasa bayi"
putri put,1,2026-05-01 15:57:43,iklan mengganggu
Way Jepara,5,2026-05-01 14:42:30,gems nya bagus boat otak nyangkol 👍👍👍👍
KaLila KenZie,5,2026-05-01 13:22:47,ini game tts yang paling epic di dunia😍🥰
Rullita Tami,2,2026-05-01 00:02:37,bagus
Tari Agustina,5,2026-04-30 18:26:20,ngapain bikin game gini gak ngasah otak searching aja di google
Eneh Supartini,4,2026-04-30 13:21:13,boleh deh
AleennaanaraM,1,2026-04-30 12:34:04,game nya gak jelas aku udah jawab ber kali kali woi masak gak bisa yang bener kek kalo buat game!!
tallib firdaus,2,2026-04-30 12:08:45,terganggu iklan🙏
Hadat,4,2026-04-30 08:09:36,game nya seru tapi ko saya tidak ada suaranya padahal udh saya hidupin suaranya tolong di perbaiki lagi ya
Akun Googel,5,2026-04-30 05:34:56,game nya sangat menarik dan bisa dimainkan saat gabut
Jaeni 0101,5,2026-04-30 04:09:42,🤙🏻🤙🏻🤙🏻
Bayu Kurniawan,1,2026-04-29 15:42:34,"menurut saya game nya kurang mengasah logika karna banyak kata² yg tidak masuk akal, terlalu ngarang."
Sandi Purnama,1,2026-04-29 15:08:59,ikalan nya menggangu banget sumpah
Ender Gitraf,5,2026-04-29 13:08:31,mantap banget saat galau nih
Evita Sari,5,2026-04-29 11:59:53,bagus buat mengasah otak dari mudah smpe sulit
Bj Rr,1,2026-04-29 10:49:39,ko dana saya ketarik sih sayah beli ngga tanggung jawab
Nengah Mulati,1,2026-04-29 07:23:20,aq kasi bintang 1 karena trlalu banyak iklan muncul dlm beberapa detik saat sedang bermain. itu sangat mengganggu. tolonglah perbaiki mslh iklan ini !!
Safriyadi Sawoka,5,2026-04-29 06:56:11,sangat baik
Fahmialgifari,3,2026-04-29 02:11:35,mending Mabar ngepngep
Alip Ridwan,5,2026-04-28 14:52:21,banyak iklan geg gw kasibjntang lima biar muncul paling atass
anas pelong,5,2026-04-28 06:21:41,game nya seru otak berpikir keras seru deh pokok nya
abek ketut,5,2026-04-27 22:42:07,sangat bagus
wendy whardani,2,2026-04-27 13:56:35,banyak kata masukan dalam bahasa Indonesia tidak ada makna jadi bukan seperti kata melainkan susunan huruf tanpa arti
Caroline Angelica,5,2026-04-27 12:15:17,"suka banget,tapi makin kesini makin susah banget"
Muhammad Ferdian,1,2026-04-26 21:18:48,game gajelas kebanyakan iklan
Arief Rahman Hanafi,3,2026-04-26 10:34:00,iklannya terlalu instrusif sekarang
Novita Prasehaneri,5,2026-04-26 01:27:44,Mengasah kemampuan berfikir
Azis Wiranto,5,2026-04-25 17:56:35,sangat puas dan bagus
Hafeeza Najwa,4,2026-04-25 07:07:30,"hahhh, aku pas maun ini santai😁👍"
Ayu Anzela,3,2026-04-25 04:41:11,bagus tapi bnyk iklan
Indra Syahputra,1,2026-04-25 01:13:34,"kebanyakan iklan, 1 level 1 iklan.. gw mau main game bukan nonton iklan"
Sofyan,1,2026-04-24 13:35:02,gasuka banyak iklannya
Habibinur Tarigan,5,2026-04-24 07:43:43,belomm saya install tapi ke nya menatik
AVIF Syah,5,2026-04-24 05:54:01,waw banget makasih sudah membangun kan otak ku untuk cerdas
Ramos Ramos ramos,5,2026-04-23 16:58:43,sangat senang bermain gem ini
Rasidi Ciliy,1,2026-04-23 15:40:06,banyak iklan bgt hapus ajah lhh rugi aku maennya
Ani Susanti,2,2026-04-23 11:05:43,"level sudah tinggi,tiap kali menyelesaikan misi selalu tampil iklan yang sangat sangat menggangu...awalnya saya main tiap hari sampai 2 jam,ketika sudah banyak iklan jadi malas saya untuk bermainnya,bye!!!"
Nurjannah Ana,5,2026-04-23 01:14:33,tank you
Muhajir,1,2026-04-23 00:24:42,banyak iklan nya drpd maen nya
Asih,5,2026-04-22 13:57:54,seru
Sulthon Al-fatih,5,2026-04-22 09:30:55,penuh tantangan tetapi tetap seru 😂😂
Alvaro Aditya,5,2026-04-22 01:22:21,Bagus untuk megisi waktu
Jonle Wahab,5,2026-04-21 13:11:20,suka bangett sama gem nya seru lagi
Fahd Alva,1,2026-04-21 12:55:25,tahi lancung
Toni Ntalung,5,2026-04-21 12:03:19,mantap
Elyas Saputra,1,2026-04-21 11:17:58,banyak kata yang sesuai tapi tidak disah kan
Siti Fatimah,5,2026-04-21 11:08:59,nambah pengetahuan
Muhamad Abim,5,2026-04-21 09:24:24,bagusss
Safitri Ity,5,2026-04-21 07:53:43,asik bisa di mainin of
Chandraa Dwii,5,2026-04-21 02:49:56,"sangat bagus daripada free fire, aku cinta wow ♥️"
Rahayu Ayu,5,2026-04-21 02:27:28,"bagus tidak ada iklan,, seru bikin kita berfikir"
andi nst,5,2026-04-21 02:18:24,sangat menyenangkan
vitra maulidan,3,2026-04-21 02:12:32,Good
iip channel,5,2026-04-21 01:08:52,mantap
RECREATE,3,2026-04-21 01:06:15,3000 progress level ku hilang cukup tw
boy Anggara,1,2026-04-20 23:04:20,banyak kata ngaco mungkin buat ngisi ruang aja kek nya
Nurwiyatina Jambi,5,2026-04-20 22:43:20,"seru banget game nyaaa, 🥰🥰🥰"
fauzanrixs12 adri12,5,2026-04-20 21:42:23,sangat bagus tidak ada iklan dan seruuuuu banget ⭐⭐⭐⭐⭐
Siponn Plm,5,2026-04-20 20:09:45,bagus
Agus Haryanto,5,2026-04-20 19:52:49,Aplikasi Yang Baik Yang Selalu Membantu Kedua Orang Tuanya
Khaniya Rochati,4,2026-04-20 17:53:48,kalo kata aku gamenya seru bisa ngasah otak dan melatih logika aku suka bangett 👍
Maleha Hermansyah,5,2026-04-20 11:46:47,sangat bagus
Samsul Bahri Siregar,5,2026-04-20 11:22:13,good
Herman Herman,5,2026-04-20 11:16:42,lumayan buat hiburan dan asah otak yg mulai tumpul
Pak Tofa,5,2026-04-20 08:14:42,sangat suka
ayu candra,5,2026-04-20 07:52:31,good
Dika Indrawan,5,2026-04-20 05:50:18,bagus game nya minn
Marlina Lubis,5,2026-04-20 04:59:16,Wow Enak bisa bikin pintar
Herman uhe,5,2026-04-20 04:33:32,top
siti jubaedah,5,2026-04-20 01:48:40,bagus...ngasah otak
Susanto Gunawan,3,2026-04-19 23:53:20,ok
Muhammad Jannatan,5,2026-04-19 23:26:11,perfect
Jamhuricuy,5,2026-04-19 17:15:58,keren
M aldo Saputra,5,2026-04-19 17:06:49,baik
Yoyoh Royanah,5,2026-04-19 13:04:53,seru baget geme nya unik bisa di mainin Tampa wifi apa kuota dan bisa ngasah otak Poko nya seruuu banget sampe aku kasih bintang lima lho 😉😉😉
Citra Wulandari,3,2026-04-19 12:12:38,kurang estetik
Johana Ratu,5,2026-04-19 11:55:52,keren
melda yusni,5,2026-04-19 11:43:05,sangat cocok untuk berpikir lebih cepat
George Koritelu,5,2026-04-19 10:28:32,Segar dan menarik untuk bersantai sebelum tidur
Davina Cathleasyah oktavia,5,2026-04-19 10:04:37,byk kata bagus
Arya Kamandanu,5,2026-04-19 09:28:38,sangat bagus
Kurniawan Ananda putra,5,2026-04-19 09:04:44,baik
Adelia Rachel,5,2026-04-19 09:04:23,bagus game cocok untuk buat setres
Handayani,5,2026-04-19 08:32:52,bagus
yanti indra yuliana,5,2026-04-19 07:55:58,bagus
Becek Cek,5,2026-04-19 04:02:02,"saya suka gm ini,jadi hiburan di setiap saya bersantai."
Shaqil Shaqilepep,5,2026-04-19 03:24:16,bagus game nya sangat bagus sekali
